player_id,player_name,team,position,week_num,opponent,pass_yds,pass_td,pass_int,rush_yds,rush_td,recs,rec_yds,rec_td,def_sack,def_int,def_fumb_forced,def_fumb_recovered,fantasy_pts
21717,Jauan Jennings,SF,WR,3,LAR,0,0,0,0,0,11,175,3,0,0,0,0,46.5
18878,Alvin Kamara,NO,RB,2,DAL,0,0,0,115,3,2,65,1,0,0,0,0,44
22564,Ja'Marr Chase,CIN,WR,5,BAL,0,0,0,0,0,10,193,2,0,0,0,0,41.3
17959,Derrick Henry,BAL,RB,4,BUF,0,0,0,199,1,3,10,1,0,0,0,0,35.9
18880,Chris Godwin,TB,WR,6,NO,0,0,0,0,0,11,125,2,0,0,0,0,35.5
14252,Kirk Cousins,ATL,QB,5,TB,509,4,1,0,0,0,0,0,0,0,0,0,34.4
24194,Sean Tucker,TB,RB,6,NO,0,0,0,136,1,3,56,1,0,0,0,0,34.2
21693,Joe Burrow,CIN,QB,5,BAL,392,5,1,1,0,0,0,0,0,0,0,0,33.8
23214,Kenneth Walker III,SEA,RB,4,DET,0,0,0,80,3,4,36,0,0,0,0,0,33.6
19766,Saquon Barkley,PHI,RB,3,NO,0,0,0,147,2,4,9,0,0,0,0,0,33.6
19781,Lamar Jackson,BAL,QB,5,CIN,348,4,0,55,0,0,0,0,0,0,0,0,33.4
23151,Drake London,ATL,WR,5,TB,0,0,0,0,0,12,154,1,0,0,0,0,33.4
19766,Saquon Barkley,PHI,RB,1,GB,0,0,0,109,2,2,23,1,0,0,0,0,33.2
23233,Jayden Reed,GB,WR,1,PHI,0,0,0,33,1,4,138,1,0,0,0,0,33.1
21756,Nico Collins,HOU,WR,4,JAX,0,0,0,0,0,12,151,1,0,0,0,0,33.1
18882,Cooper Kupp,LAR,WR,1,DET,0,0,0,10,0,14,110,1,0,0,0,0,32
22492,Justin Fields,PIT,QB,4,IND,312,1,0,55,2,0,0,0,0,0,0,0,32
23212,Kyren Williams,LAR,RB,3,SF,0,0,0,89,2,2,27,1,0,0,0,0,31.6
21961,Darnell Mooney,ATL,WR,5,TB,0,0,0,0,0,9,105,2,0,0,0,0,31.5
19801,Josh Allen,BUF,QB,1,ARI,232,2,0,39,2,0,0,0,0,0,0,0,31.2
