player_id,player_name,team,position,week_num,opponent,pass_yds,pass_td,pass_int,rush_yds,rush_td,recs,rec_yds,rec_td,def_sack,def_int,def_fumb_forced,def_fumb_recovered,fantasy_pts
18944,Kareem Hunt,KC,RB,1,NE,0,0,0,148,1,5,98,2,0,0,0,0,40.6
4314,Tom Brady,NE,QB,3,HOU,378,5,0,6,0,0,0,0,0,0,0,0,35.72
18857,Deshaun Watson,HOU,QB,4,TEN,283,4,1,24,1,0,0,0,0,0,0,0,33.72
14536,Russell Wilson,SEA,QB,3,TEN,373,4,0,26,0,0,0,0,0,0,0,0,33.52
13320,Cam Newton,CAR,QB,4,NE,316,3,1,44,1,0,0,0,0,0,0,0,33.04
16771,Todd Gurley II,LAR,RB,3,SF,0,0,0,113,2,5,36,1,0,0,0,0,32.9
6739,Alex Smith,KC,QB,1,NE,368,4,0,3,0,0,0,0,0,0,0,0,31.02
4314,Tom Brady,NE,QB,2,NO,447,3,0,9,0,0,0,0,0,0,0,0,30.78
14967,Le'Veon Bell,PIT,RB,4,BAL,0,0,0,144,2,4,42,0,0,0,0,0,30.6
16906,Stefon Diggs,MIN,WR,3,TB,0,0,0,0,0,8,173,2,0,0,0,0,29.3
15694,Case Keenum,MIN,QB,3,TB,369,3,0,18,0,0,0,0,0,0,0,0,28.56
12841,Andy Dalton,CIN,QB,4,CLE,286,4,0,29,0,0,0,0,0,0,0,0,28.34
52,Jacksonville Jaguars,JAX,DST,1,HOU,0,0,0,0,0,0,0,0,10,1,3,3,28
32,Los Angeles Rams,LAR,DST,1,IND,0,0,0,0,0,0,0,0,4,2,2,1,28
18018,Jacoby Brissett,IND,QB,3,CLE,259,1,0,14,2,0,0,0,0,0,0,0,27.76
4932,Eli Manning,NYG,QB,4,TB,288,2,0,22,1,0,0,0,0,0,0,0,27.72
14536,Russell Wilson,SEA,QB,4,IND,295,2,2,38,1,0,0,0,0,0,0,0,27.6
16245,Blake Bortles,JAX,QB,3,BAL,244,4,0,18,0,0,0,0,0,0,0,0,27.56
16771,Todd Gurley II,LAR,RB,4,DAL,0,0,0,121,0,7,94,1,0,0,0,0,27.5
15020,CJ Anderson,DEN,RB,2,DAL,0,0,0,118,1,3,36,1,0,0,0,0,27.4
6739,Alex Smith,KC,QB,4,WAS,293,1,0,56,1,0,0,0,0,0,0,0,27.32
18331,Chris Jones,KC,DT,2,PHI,0,0,0,0,0,0,0,0,3,1,2,0,27.3
16568,Brandin Cooks,NE,WR,3,HOU,0,0,0,0,0,5,131,2,0,0,0,0,27.1
9038,Matthew Stafford,DET,QB,1,ARI,292,4,1,14,0,0,0,0,0,0,0,0,27.08
14252,Kirk Cousins,WAS,QB,3,LV,365,3,0,2,0,0,0,0,0,0,0,0,26.8
18067,Jordan Howard,CHI,RB,3,PIT,0,0,0,140,2,5,26,0,0,0,0,0,26.6
16194,Jadeveon Clowney,HOU,DE,3,NE,0,0,0,0,0,0,0,0,2,0,0,1,26.5
16762,Jameis Winston,TB,QB,4,NYG,332,3,0,12,0,0,0,0,0,0,0,0,26.48
8358,Brian Hoyer,SF,QB,3,LAR,332,2,1,9,1,0,0,0,0,0,0,0,26.18
9331,Michael Crabtree,LV,WR,2,NYJ,0,0,0,0,0,6,80,3,0,0,0,0,26
17923,Ezekiel Elliott,DAL,RB,4,LAR,0,0,0,85,1,4,54,1,0,0,0,0,25.9
11527,Sam Bradford,MIN,QB,1,NO,346,3,0,-3,0,0,0,0,0,0,0,0,25.54
13791,Lamar Miller,HOU,RB,4,TEN,0,0,0,75,1,4,56,1,0,0,0,0,25.1
36,Baltimore Ravens,BAL,DST,1,CIN,0,0,0,0,0,0,0,0,5,4,1,1,25
12800,Bilal Powell,NYJ,RB,4,JAX,0,0,0,163,1,4,27,0,0,0,0,0,25
17920,Carson Wentz,PHI,QB,2,KC,333,2,1,55,0,0,0,0,0,0,0,0,24.82
2593,Aaron Rodgers,GB,QB,3,CIN,313,3,1,23,0,0,0,0,0,0,0,0,24.82
