player_id,player_name,team,position,week_num,opponent,pass_yds,pass_td,pass_int,rush_yds,rush_td,recs,rec_yds,rec_td,def_sack,def_int,def_fumb_forced,def_fumb_recovered,fantasy_pts
14008,Andrew Luck,IND,QB,3,JAX,370,4,0,15,0,0,0,0,0,0,0,0,32.3
4932,Eli Manning,NYG,QB,4,WAS,300,4,1,1,1,0,0,0,0,0,0,0,32.1
732,Matt Ryan,ATL,QB,1,NO,448,3,0,15,0,0,0,0,0,0,0,0,31.42
9038,Matthew Stafford,DET,QB,1,NYG,346,2,0,2,1,0,0,0,0,0,0,0,30.04
14008,Andrew Luck,IND,QB,4,TEN,393,4,1,-1,0,0,0,0,0,0,0,0,29.62
2,Atlanta Falcons,ATL,DST,3,TB,0,0,0,0,0,0,0,0,3,1,3,4,29
2593,Aaron Rodgers,GB,QB,4,CHI,302,4,0,8,0,0,0,0,0,0,0,0,28.88
7969,Jamaal Charles,KC,RB,4,NE,0,0,0,92,1,3,16,2,0,0,0,0,28.8
2593,Aaron Rodgers,GB,QB,2,NYJ,346,3,0,28,0,0,0,0,0,0,0,0,28.64
13027,Julius Thomas,DEN,TE,1,IND,0,0,0,0,0,7,104,3,0,0,0,0,28.4
6029,Calvin Johnson,DET,WR,1,NYG,0,0,0,0,0,7,164,2,0,0,0,0,28.4
13291,Julio Jones,ATL,WR,3,TB,0,0,0,0,0,9,161,2,0,0,0,0,28.1
13255,Matt Asiata,MIN,RB,4,ATL,0,0,0,78,3,3,22,0,0,0,0,0,28
7884,Antonio Gates,LAC,TE,2,SEA,0,0,0,0,0,7,96,3,0,0,0,0,27.6
14252,Kirk Cousins,WAS,QB,3,PHI,427,3,1,5,0,0,0,0,0,0,0,0,27.58
13124,DeMarco Murray,DAL,RB,4,NO,0,0,0,149,2,1,6,0,0,0,0,0,27.5
8244,Philip Rivers,LAC,QB,4,JAX,377,3,0,0,0,0,0,0,0,0,0,0,27.08
4556,Jordy Nelson,GB,WR,2,NYJ,0,0,0,0,0,9,209,1,0,0,0,0,26.9
14008,Andrew Luck,IND,QB,1,DEN,370,2,2,19,1,0,0,0,0,0,0,0,26.7
9038,Matthew Stafford,DET,QB,4,NYJ,293,2,0,8,1,0,0,0,0,0,0,0,26.52
13723,Nick Foles,PHI,QB,3,WAS,325,3,0,12,0,0,0,0,0,0,0,0,26.2
