player_id,player_name,team,position,week_num,opponent,pass_yds,pass_td,pass_int,rush_yds,rush_td,recs,rec_yds,rec_td,def_sack,def_int,def_fumb_forced,def_fumb_recovered,fantasy_pts
19045,Aaron Jones,GB,RB,2,DET,0,0,0,168,2,4,68,1,0,0,0,0,41.6
18890,Patrick Mahomes,KC,QB,3,BAL,385,4,0,26,1,0,0,0,0,0,0,0,40
18055,Dak Prescott,DAL,QB,2,ATL,450,1,0,18,3,0,0,0,0,0,0,0,39.8
18055,Dak Prescott,DAL,QB,4,CLE,502,4,1,12,0,0,0,0,0,0,0,0,37.28
14536,Russell Wilson,SEA,QB,3,DAL,315,5,0,22,0,0,0,0,0,0,0,0,36.8
18858,Joe Mixon,CIN,RB,4,JAX,0,0,0,151,2,6,30,1,0,0,0,0,36.1
13320,Cam Newton,NE,QB,2,SEA,397,1,1,47,2,0,0,0,0,0,0,0,34.58
19801,Josh Allen,BUF,QB,2,MIA,415,4,0,19,0,0,0,0,0,0,0,0,34.5
14536,Russell Wilson,SEA,QB,2,NE,288,5,1,39,0,0,0,0,0,0,0,0,33.42
16389,Odell Beckham Jr.,CLE,WR,4,DAL,0,0,0,73,1,5,81,2,0,0,0,0,33.4
4314,Tom Brady,TB,QB,4,LAC,369,5,1,-3,0,0,0,0,0,0,0,0,32.46
20889,Kyler Murray,ARI,QB,2,WAS,286,1,1,67,2,0,0,0,0,0,0,0,32.14
20824,Josh Jacobs,LV,RB,1,CAR,0,0,0,93,3,4,46,0,0,0,0,0,31.9
14536,Russell Wilson,SEA,QB,1,ATL,322,4,0,29,0,0,0,0,0,0,0,0,31.78
18878,Alvin Kamara,NO,RB,3,GB,0,0,0,58,0,13,139,2,0,0,0,0,31.7
19801,Josh Allen,BUF,QB,3,LAR,311,4,1,8,1,0,0,0,0,0,0,0,31.24
2593,Aaron Rodgers,GB,QB,1,MIN,364,4,0,2,0,0,0,0,0,0,0,0,30.76
2593,Aaron Rodgers,GB,QB,4,ATL,327,4,0,5,0,0,0,0,0,0,0,0,29.58
